question_choices,actual_answer,generated_answer,context
불활성 가스에 해당하는 것은?,아르곤,"[|assistant|]제시된 옵션들 중에서 불활성 가스에 해당하는 것은:

3. **아르곤**

**설명:**
- **아르곤 (Ar)**: 불활성 기체로 분류되며, 화학적으로 매우 안정적이어서 대부분의 화학 반응에 참여하지 않습니다. 이는 제4조에서 언급된 유해물질이나 위험물질의 범주에 포함되지 않는 일반적인 기체입니다.
  
다른 옵션들은 다음과 같이 분류됩니다:
- **수증기 (H2O)**: 물 분자로, 화학적으로 활성화된 상태입니다.
- **일산화탄소 (CO)**: 독성 가스로 분류되어 위험물질에 해당할 수 있습니다.
- **아세틸렌 (C2H2)**: 가연성 가스로 분류되어 위험물안전관리법의 적용 대상이 될 수 있습니다.

따라서, 불활성 가스에 해당하는 정답은 **3. 아르곤**입니다."," [초고층재난관리법 시행령 / 제1장 총칙 / 제4조(유해ㆍ위험물질의 종류 및 범위)]
제4조(유해ㆍ위험물질의 종류 및 범위) 법 제2조제8호에 따른 유해ㆍ위험물질의 종류 및 범위는 다음 각 호와 같다. <개정 2014. 12. 9., 2019. 12. 24.>

1. 「화학물질관리법」 제2조제2호부터 제6호까지의 규정에 따른 유독물질, 허가물질, 제한물질, 금지물질 및 사고대비물질
2. 「위험물안전관리법 시행령」 별표 1에 따른 위험물별 지정수량 이상의 위험물
3. 「고압가스 안전관리법」의 적용 대상인 가연성가스 및 독성가스
4. 「산업안전보건법」 제118조에 따른 제조 등의 허가 대상 물질
5. 삭제 <2016. 12. 30.>"
이산화탄소소화약제의 임계온도로 옳은 것은?,31.1℃,"[|assistant|]이산화탄소(CO2)의 임계온도에 대해 정확한 답변을 드리기 위해서는 관련 문서나 과학적 데이터를 직접 참조해야 합니다. 하지만 일반적으로 알려진 정보에 따르면:

- 이산화탄소의 임계온도는 약 **-56.6°C**입니다. 이는 액체 상태에서 기체 상태로 전환되는 온도를 의미합니다.

제시된 옵션들 중에서는 정확한 값이 포함되어 있지 않습니다. 주어진 선택지 중 가장 가까운 값은 없으나, 만약 이산화탄소의 상태 변화와 관련된 온도를 묻는 것이라면, 일반적인 이해 범위 내에서는 주어진 옵션들 중 어느 것도 정확한 답이 아닙니다.

**정확한 답변을 위해서는:**
- **1. 24.4°C**: 액체 상태 유지 온도
- **2. 31.1°C**: 일부 특수 조건 하의 액체 상태 유지 온도
- **3. 56.4°C**: 기체 상태 유지 온도 (임계온도보다 높음)
- **4. 78.2°C**: 기체 상태 유지 온도 (임계온도보다 훨씬 높음)

이산화탄소의 임계온도는 **-56.6°C**로, 주어진 옵션들 중에는 해당 값이 포함되어 있지 않습니다. 따라서 주어진 선택지 중에서는 정확한 답을 찾을 수 없습니다. 만약 질문의 맥락이 다른 온도 범위를 묻는 것이라면, 추가 정보가 필요할 수 있습니다."," [위험물안전관리법 시행규칙 / 제3장 제조소등의 위치ㆍ구조 및 설비의 기준 / 제41조(소화설비의 기준)]
제41조(소화설비의 기준) ①법 제5조제4항의 규정에 의하여 제조소등에는 화재발생시 소화가 곤란한 정도에 따라 그 소화에 적응성이 있는 소화설비를 설치하여야 한다.
②제1항의 규정에 의한 소화가 곤란한 정도에 따른 소화난이도는 소화난이도등급Ⅰ, 소화난이도등급Ⅱ 및 소화난이도등급Ⅲ으로 구분하되, 각 소화난이도등급에 해당하는 제조소등의 규모, 저장 또는 취급하는 위험물의 품명 및 최대수량 등과 그에 따라 제조소등별로 설치하여야 하는 소화설비의 종류, 각 소화설비의 적응성 및 소화설비의 설치기준은 별표 17과 같다."
"분말소화약제 중 A급, B급, C급 화재에 모두 사용할 수 있는 것은?",NH4H2PO4,"[|assistant|]분말소화약제의 종류와 그 특성에 대해 살펴보면 다음과 같습니다:

1. **Na2CO3 (나트륨 카르복시레이트)**: 주로 B급 화재 (유류 화재)에 효과적입니다. A급 화재 (일반 가연물 화재)에는 제한적인 효과가 있을 수 있습니다.

2. **NH4H2PO4 (암모늄 수소 포스페이트)**: 주로 A급 화재와 일부 B급 화재에 사용되며, 특히 전기화재에도 안전하게 사용될 수 있습니다. 그러나 C급 화재 (가스 화재)에는 제한적일 수 있습니다.

3. **KHCO3 (포타슘 카르복시레이트)**: A급 화재와 B급 화재에 모두 효과적입니다. 특히 유류 화재와 일반 가연물 화재에 널리 사용되며, 일부 C급 화재에도 적용될 수 있습니다. 그러나 가스 화재에 대한 효과는 제한적일 수 있습니다.

4. **NaHCO3 (나트륨 카르복시레이트)**: 주로 A급 화재에 효과적입니다. B급 화재와 C급 화재에는 제한적인 효과가 있을 수 있습니다.

따라서 **A급, B급, C급 화재에 모두 효과적으로 사용될 수 있는 분말소화약제**는 **3. KHCO3 (포타슘 카르복시레이트)**입니다. 이 물질은 다양한 유형의 화재에 대해 상대적으로 폭넓은 적용 범위를 가지고 있습니다."," [초고층재난관리법 시행령 / 제1장 총칙 / 제4조(유해ㆍ위험물질의 종류 및 범위)]
제4조(유해ㆍ위험물질의 종류 및 범위) 법 제2조제8호에 따른 유해ㆍ위험물질의 종류 및 범위는 다음 각 호와 같다. <개정 2014. 12. 9., 2019. 12. 24.>

1. 「화학물질관리법」 제2조제2호부터 제6호까지의 규정에 따른 유독물질, 허가물질, 제한물질, 금지물질 및 사고대비물질
2. 「위험물안전관리법 시행령」 별표 1에 따른 위험물별 지정수량 이상의 위험물
3. 「고압가스 안전관리법」의 적용 대상인 가연성가스 및 독성가스
4. 「산업안전보건법」 제118조에 따른 제조 등의 허가 대상 물질
5. 삭제 <2016. 12. 30.>"
방화구획의 설치기준 중 스프링클러 기타 이와 유사한 자동식 소화설비를 설치한 10층 이하의 층은 몇 ㎡ 이내마다 구획하여야 하는가?,"3,000","[|assistant|]제시된 문서에는 스프링클러 시스템이나 기타 자동식 소화설비에 대한 구체적인 면적 구획 기준이 명시적으로 언급되어 있지 않습니다. 주어진 내용은 주로 방화구획의 설치 범위와 예외 사항, 대피공간 설치 기준 등에 초점을 맞추고 있으며, 특정 규모 이하의 건물에 대한 자동식 소화설비 설치 기준에 대한 세부 사항은 포함되어 있지 않습니다.

따라서, 주어진 정보만으로는 정확한 답변을 제공하기 어렵습니다. 일반적으로 건축물의 규모와 용도에 따라 소방설비의 설치 기준이 다르게 적용될 수 있으며, 특히 자동식 소화설비의 경우 건축물의 연면적이나 층수에 따라 세부적인 구획 기준이 달라질 수 있습니다.

만약 이 질문에 대한 정확한 답변을 얻기 위해서는 관련 법률이나 추가적인 건축 규정 문서를 참조해야 할 것입니다. 주어진 옵션들 중에서 가장 일반적인 규모를 고려한다면:

- **1. 1,000 m2**
- **2. 1,500 m2**
- **3. 2,000 m2**
- **4. 3,000 m2**

이 중에서 **2. 1,500 m2**가 중간 규모의 건물에 적용될 가능성이 있는 옵션으로 보입니다. 하지만 이는 추정에 불과하며, 정확한 답변을 위해서는 관련 법률이나 규정을 직접 확인해야 합니다."," 8. 건축물의 1층과 2층의 일부를 동일한 용도로 사용하며 그 건축물의 다른 부분과 방화구획으로 구획된 부분(바닥면적의 합계가 500제곱미터 이하인 경우로 한정한다)
③ 건축물 일부의 주요구조부를 내화구조로 하거나 제2항에 따라 건축물의 일부에 제1항을 완화하여 적용한 경우에는 내화구조로 한 부분 또는 제1항을 완화하여 적용한 부분과 그 밖의 부분을 방화구획으로 구획하여야 한다. <개정 2018. 9. 4.>
④ 공동주택 중 아파트로서 4층 이상인 층의 각 세대가 2개 이상의 직통계단을 사용할 수 없는 경우에는 발코니(발코니의 외부에 접하는 경우를 포함한다)에 인접 세대와 공동으로 또는 각 세대별로 다음 각 호의 요건을 모두 갖춘 대피공간을 하나 이상 설치해야 한다. 이 경우 인접 세대와 공동으로 설치하는 대피공간은 인접 세대를 통하여 2개 이상의 직통계단을 쓸 수 있는 위치에 우선 설치되어야 한다. <개정 2013. 3. 23., 2020. 10. 8., 2023. 9. 12., 2024. 6. 18.>
1. 대피공간은 바깥의 공기와 접할 것
2. 대피공간은 실내의 다른 부분과 방화구획으로 구획될 것
3. 대피공간의 바닥면적은 인접 세대와 공동으로 설치하는 경우에는 3제곱미터 이상, 각 세대별로 설치하는 경우에는 2제곱미터 이상일 것
4. 대피공간으로 통하는 출입문은 제64조제1항제1호에 따른 60분+ 방화문으로 설치할 것
5. 국토교통부장관이 정하는 기준에 적합할 것 1. 문화 및 집회시설(동ㆍ식물원은 제외한다), 종교시설, 운동시설 또는 장례시설의 용도로 쓰는 거실로서 시선 및 활동공간의 확보를 위하여 불가피한 부분
2. 물품의 제조ㆍ가공 및 운반 등(보관은 제외한다)에 필요한 고정식 대형 기기(器機) 또는 설비의 설치를 위하여 불가피한 부분. 다만, 지하층인 경우에는 지하층의 외벽 한쪽 면(지하층의 바닥면에서 지상층 바닥 아래면까지의 외벽 면적 중 4분의 1 이상이 되는 면을 말한다) 전체가 건물 밖으로 개방되어 보행과 자동차의 진입ㆍ출입이 가능한 경우로 한정한다.
3. 계단실ㆍ복도 또는 승강기의 승강장 및 승강로로서 그 건축물의 다른 부분과 방화구획으로 구획된 부분. 다만, 해당 부분에 위치하는 설비배관 등이 바닥을 관통하는 부분은 제외한다.
4. 건축물의 최상층 또는 피난층으로서 대규모 회의장ㆍ강당ㆍ스카이라운지ㆍ로비 또는 피난안전구역 등의 용도로 쓰는 부분으로서 그 용도로 사용하기 위하여 불가피한 부분
5. 복층형 공동주택의 세대별 층간 바닥 부분
6. 주요구조부가 내화구조 또는 불연재료로 된 주차장
7. 단독주택, 동물 및 식물 관련 시설 또는 국방ㆍ군사시설(집회, 체육, 창고 등의 용도로 사용되는 시설만 해당한다)로 쓰는 건축물
8. 건축물의 1층과 2층의 일부를 동일한 용도로 사용하며 그 건축물의 다른 부분과 방화구획으로 구획된 부분(바닥면적의 합계가 500제곱미터 이하인 경우로 한정한다) [건축법 시행령 / 제5장 건축물의 구조 및 재료 등 <개정 2014. 11. 28.> / 제46조(방화구획 등의 설치)]
제46조(방화구획 등의 설치) ① 법 제49조제2항 본문에 따라 주요구조부가 내화구조 또는 불연재료로 된 건축물로서 연면적이 1천 제곱미터를 넘는 것은 국토교통부령으로 정하는 기준에 따라 다음 각 호의 구조물로 구획(이하 “방화구획”이라 한다)을 해야 한다. 다만, 「원자력안전법」 제2조제8호 및 제10호에 따른 원자로 및 관계시설은 같은 법에서 정하는 바에 따른다. <개정 2020. 10. 8., 2022. 4. 29.>
1. 내화구조로 된 바닥 및 벽
2. 제64조제1항제1호ㆍ제2호에 따른 방화문 또는 자동방화셔터(국토교통부령으로 정하는 기준에 적합한 것을 말한다. 이하 같다)
② 다음 각 호에 해당하는 건축물의 부분에는 제1항을 적용하지 않거나 그 사용에 지장이 없는 범위에서 제1항을 완화하여 적용할 수 있다. <개정 2010. 2. 18., 2017. 2. 3., 2019. 8. 6., 2020. 10. 8., 2022. 4. 29., 2023. 5. 15.>
1. 문화 및 집회시설(동ㆍ식물원은 제외한다), 종교시설, 운동시설 또는 장례시설의 용도로 쓰는 거실로서 시선 및 활동공간의 확보를 위하여 불가피한 부분 4. 대피공간으로 통하는 출입문은 제64조제1항제1호에 따른 60분+ 방화문으로 설치할 것
5. 국토교통부장관이 정하는 기준에 적합할 것
⑤ 제4항에도 불구하고 아파트의 4층 이상인 층에서 발코니(제4호의 경우에는 발코니의 외부에 접하는 경우를 포함한다)에 다음 각 호의 어느 하나에 해당하는 구조 또는 시설을 갖춘 경우에는 대피공간을 설치하지 않을 수 있다. <개정 2010. 2. 18., 2013. 3. 23., 2014. 8. 27., 2018. 9. 4., 2021. 8. 10., 2023. 9. 12.>
1. 발코니와 인접 세대와의 경계벽이 파괴하기 쉬운 경량구조 등인 경우
2. 발코니의 경계벽에 피난구를 설치한 경우
3. 발코니의 바닥에 국토교통부령으로 정하는 하향식 피난구를 설치한 경우
4. 국토교통부장관이 제4항에 따른 대피공간과 동일하거나 그 이상의 성능이 있다고 인정하여 고시하는 구조 또는 시설(이하 이 호에서 “대체시설”이라 한다)을 갖춘 경우. 이 경우 국토교통부장관은 대체시설의 성능에 대해 미리 「과학기술분야 정부출연연구기관 등의 설립ㆍ운영 및 육성에 관한 법률」 제8조제1항에 따라 설립된 한국건설기술연구원(이하 “한국건설기술연구원”이라 한다)의 기술검토를 받은 후 고시해야 한다.
⑥ 요양병원, 정신병원, 「노인복지법」 제34조제1항제1호에 따른 노인요양시설(이하 “노인요양시설”이라 한다), 장애인 거주시설 및 장애인 의료재활시설의 피난층 외의 층에는 다음 각 호의 어느 하나에 해당하는 시설을 설치하여야 한다. <신설 2015. 9. 22., 2018. 9. 4.> 1. 각 층마다 별도로 방화구획된 대피공간
2. 거실에 접하여 설치된 노대등
3. 계단을 이용하지 아니하고 건물 외부의 지상으로 통하는 경사로 또는 인접 건축물로 피난할 수 있도록 설치하는 연결복도 또는 연결통로
⑦ 법 제49조제2항 단서에서 “대규모 창고시설 등 대통령령으로 정하는 용도 및 규모의 건축물”이란 제2항제2호에 해당하여 제1항을 적용하지 않거나 완화하여 적용하는 부분이 포함된 창고시설을 말한다. <신설 2022. 4. 29.>
[전문개정 2008. 10. 29.]
[제목개정 2015. 9. 22.]"
탄화칼슘 화재 시 물을 주수하였을 때 발생하는 가스로 옳은 것은?,C2H2,"[|assistant|]탄화칼슘(CaC2) 화재 시 물을 주수하였을 때 발생하는 주요 반응과 관련된 가스에 대해 살펴보면 다음과 같습니다:

- **탄화칼슘(CaC2)**은 주로 **일산화탄소(CO)**와 **칼슘수산화물(Ca(OH)2)**을 생성하는 반응을 일으킵니다. 반응식은 다음과 같습니다:
  \[
  \text{CaC}_2 + 2\text{H}_2\text{O} \rightarrow \text{Ca(OH)}_2 + \text{CH}_2=CH_2 \quad (\text{에틸렌 생성})
  \]
  여기서 에틸렌(CH2=CH2)은 가스 형태로 발생하지만, 주로 주목해야 할 가스는 **일산화탄소(CO)**입니다. 물과의 반응에서 일산화탄소가 생성되며, 이는 매우 독성이 강한 가스로 알려져 있습니다.

따라서 주어진 옵션들 중에서 **탄화칼슘 화재 시 물을 주수하였을 때 발생하는 주요 가스**는:

**1. C2H2 (에틸렌)** 가 가장 관련이 있지만, 주의해야 할 핵심 가스는 **일산화탄소(CO)**입니다. 주어진 옵션 중에서는 **1. C2H2** 가 가장 가깝지만, 엄밀히 말하면 주요 독성 가스는 **CO**입니다.

**정답:** 주어진 옵션 중에서 가장 적합한 것은 **1. C2H2** 이지만, 실제 주요 독성 가스는 **일산화탄소(CO)**임을 명심해야 합니다."," ③ 제2항 단서에 따라 옮긴 물건 등에 대한 보관기간 및 보관기간 경과 후 처리 등에 필요한 사항은 대통령령으로 정한다.
④ 보일러, 난로, 건조설비, 가스ㆍ전기시설, 그 밖에 화재 발생 우려가 있는 대통령령으로 정하는 설비 또는 기구 등의 위치ㆍ구조 및 관리와 화재 예방을 위하여 불을 사용할 때 지켜야 하는 사항은 대통령령으로 정한다.
⑤ 화재가 발생하는 경우 불길이 빠르게 번지는 고무류ㆍ플라스틱류ㆍ석탄 및 목탄 등 대통령령으로 정하는 특수가연물(特殊可燃物)의 저장 및 취급 기준은 대통령령으로 정한다. [화재의예방및안전관리에관한법률 / 제4장 화재의 예방조치 등 / 제17조(화재의 예방조치 등)]
제17조(화재의 예방조치 등) ① 누구든지 화재예방강화지구 및 이에 준하는 대통령령으로 정하는 장소에서는 다음 각 호의 어느 하나에 해당하는 행위를 하여서는 아니 된다. 다만, 행정안전부령으로 정하는 바에 따라 안전조치를 한 경우에는 그러하지 아니한다.
1. 모닥불, 흡연 등 화기의 취급
2. 풍등 등 소형열기구 날리기
3. 용접ㆍ용단 등 불꽃을 발생시키는 행위
4. 그 밖에 대통령령으로 정하는 화재 발생 위험이 있는 행위
② 소방관서장은 화재 발생 위험이 크거나 소화 활동에 지장을 줄 수 있다고 인정되는 행위나 물건에 대하여 행위 당사자나 그 물건의 소유자, 관리자 또는 점유자에게 다음 각 호의 명령을 할 수 있다. 다만, 제2호 및 제3호에 해당하는 물건의 소유자, 관리자 또는 점유자를 알 수 없는 경우 소속 공무원으로 하여금 그 물건을 옮기거나 보관하는 등 필요한 조치를 하게 할 수 있다.
1. 제1항 각 호의 어느 하나에 해당하는 행위의 금지 또는 제한
2. 목재, 플라스틱 등 가연성이 큰 물건의 제거, 이격, 적재 금지 등
3. 소방차량의 통행이나 소화 활동에 지장을 줄 수 있는 물건의 이동
③ 제2항 단서에 따라 옮긴 물건 등에 대한 보관기간 및 보관기간 경과 후 처리 등에 필요한 사항은 대통령령으로 정한다."
이산화탄소의 질식 및 냉각 효과에 대한 설명 중 틀린 것은?,이산화탄소는 산소와 반응하여 발생한 연소열을 흡수함으로써 냉각효과를 나타낸다.,"[|assistant|]제시된 문항들 중에서 틀린 설명은 **4번**입니다.

**틀린 설명:**
- **4. 이산화탄소는 산소와 반응하여 발생한 연소열을 흡수함으로써 냉각효과를 나타낸다.**

**정확한 설명:**
이산화탄소는 주로 **질식 효과**와 **냉각 효과**로 화재 진압에 사용됩니다.
- **질식 효과**: 이산화탄소는 증기비중이 산소보다 높아 가연물과 산소의 접촉을 방해하여 연소를 억제합니다 (1번 문항 참조).
- **냉각 효과**: 액체 상태의 이산화탄소가 기화될 때 열을 흡수하여 주변 온도를 낮춥니다 (2번 문항 참조). 이산화탄소 자체가 산소와 직접 반응하여 연소열을 흡수하는 것이 아니라, 주변 환경의 열을 흡수하여 냉각시키는 역할을 합니다.

따라서, 이산화탄소가 산소와 직접 반응하여 연소열을 흡수한다는 설명은 정확하지 않습니다. 이산화탄소의 주요 작용 메커니즘은 산소와의 직접적인 화학 반응보다는 주변 열 흡수를 통한 냉각 효과에 더 초점을 맞춥니다."," [화재의예방및안전관리에관한법률시행령 / 제4장 화재의 예방조치 등 / 제19조(화재의 확대가 빠른 특수가연물)]
제19조(화재의 확대가 빠른 특수가연물) ① 법 제17조제5항에서 “고무류ㆍ플라스틱류ㆍ석탄 및 목탄 등 대통령령으로 정하는 특수가연물(特殊可燃物)”이란 별표 2에서 정하는 품명별 수량 이상의 가연물을 말한다.
② 법 제17조제5항에 따른 특수가연물의 저장 및 취급 기준은 별표 3과 같다."
"증기비중의 정의로 옳은 것은? (단, 분자·분모의 단위는 모두 g/mol이다.)",분자량/29,"[|assistant|]제시된 질문은 증기비중에 대한 정의를 묻고 있지만, 주어진 문서 내용과 직접적인 관련이 없습니다. 문서는 주로 위험물 저장 탱크의 용적 산정 기준에 초점을 맞추고 있습니다.

증기비중에 대한 일반적인 정의를 제공하겠습니다:

증기비중은 액체의 증기압력이 표준 상태(보통 0°C 또는 1 atm 압력)에서 동일한 질량의 기체 상태의 동일한 물질의 밀도와 비교한 비율을 나타냅니다. 수학적으로 표현하면 다음과 같습니다:

\[ \text{증기비중} = \frac{\text{액체의 밀도}}{\text{동일 질량의 기체 상태의 밀도}} \]

단위가 모두 \( \text{g/mol} \)로 주어졌을 때, 증기비중의 정확한 계산식은 물질의 특성에 따라 다릅니다. 일반적으로 증기압과 관련된 공식들은 다음과 같은 형태를 띨 수 있습니다:

- **이상 기체 법칙**을 기반으로 한 간단한 근사치로는 \( \frac{\text{분자량}}{RT} \) 형태가 있지만, 이는 정확한 증기비중을 나타내지는 않습니다.
- 실제 증기비중은 물질의 특성에 따라 다양한 공식으로 계산되며, 주어진 옵션들 중에서는 정확한 정의를 직접적으로 반영하는 옵션이 명시적으로 제공되지 않았습니다.

주어진 옵션들 중에서 가장 일반적인 개념에 가까운 것으로 볼 때, 정확한 정의를 정확히 반영하는 옵션은 없습니다. 하지만 만약 특정 물질에 대한 일반적인 이해를 바탕으로 선택해야 한다면, 주어진 옵션들 중에서는 물질의 특성에 따라 달라질 수 있으나, 일반적인 이해를 바탕으로 가장 가까운 개념을 찾는다면:

**정확한 정의를 반영하지는 않지만, 분자량과 관련된 개념을 고려할 때:**

- **3. 분자량/44.8**  
  이는 특정 물질의 특성에 따라 조정될 수 있는 형태로 보일 수 있지만, 이 역시 정확한 증기비중 정의는 아닙니다. 증기비중은 보통 더 복잡한 물리적 관계를 포함합니다.

따라서, 주어진 옵션들 중에서는 **정확한 정의를 반영하지 않지만"," [위험물안전관리법 시행규칙 / 제1장 총칙 / 제5조(탱크 용적의 산정기준)]
제5조(탱크 용적의 산정기준) ①위험물을 저장 또는 취급하는 탱크의 용량은 해당 탱크의 내용적에서 공간용적을 뺀 용적으로 한다. 이 경우 위험물을 저장 또는 취급하는 영 별표 2 제6호에 따른 차량에 고정된 탱크(이하 “이동저장탱크”라 한다)의 용량은 「자동차 및 자동차부품의 성능과 기준에 관한 규칙」에 따른 최대적재량 이하로 하여야 한다. <개정 2005. 5. 26., 2016. 1. 22.>
②제1항의 규정에 의한 탱크의 내용적 및 공간용적의 계산방법은 소방청장이 정하여 고시한다. <개정 2014. 11. 19., 2017. 7. 26.>
③제1항의 규정에 불구하고 제조소 또는 일반취급소의 위험물을 취급하는 탱크 중 특수한 구조 또는 설비를 이용함에 따라 당해 탱크내의 위험물의 최대량이 제1항의 규정에 의한 용량 이하인 경우에는 당해 최대량을 용량으로 한다."
화재의 분류방법 중 유류화재를 나타낸 것은?,B급 화재,"[|assistant|]답변: **4. D급 화재**

**설명:**
화재의 분류는 주로 다음과 같이 이루어집니다:
- **A급 화재**: 일반 가연물(목재, 종이 등) 화재
- **B급 화재**: 유체연료(가스, 기름 등) 화재
- **C급 화재**: 전기화재
- **D급 화재**: 금속화재 (예: 나트륨, 마그네슘 등)

제시된 문서에서는 화재안전등급에 대한 세부 기준을 다루고 있지만, 화재의 종류 분류에 대한 직접적인 언급은 없습니다. 그러나 일반적인 화재 분류 체계에 따르면, **유류화재**는 **B급 화재**에 해당합니다. 하지만 주어진 선택지 중에는 B급 화재가 명시되어 있지 않고, 문서 내용과 관련하여 가장 관련성이 있는 것으로 보이는 것은 **D급 화재**가 금속화재와 관련이 있어 유사한 맥락에서 이해될 수 있다는 점입니다.

정확한 화재 분류 체계에 따르면, **유류화재**는 **B급 화재**에 해당하지만, 주어진 선택지에서는 해당하는 옵션이 없습니다. 문서 내용만으로는 가장 관련성이 있는 것으로 **D급 화재**를 선택하는 것이 적절할 수 있으나, 실제 화재 분류에서는 **B급 화재**가 정확한 답입니다."," [다중이용업소법 시행령 / CHAPTER_18 / 제11조(화재안전등급)]
제11조(화재안전등급) ① 법 제15조제2항에서 “대통령령으로 정하는 기준 미만인 경우”란 별표 4의 디(D) 등급 또는 이(E) 등급인 경우를 말한다. <개정 2012. 12. 27., 2023. 12. 12.>
②제1항에 따른 화재안전등급의 산정기준ㆍ방법 등은 소방청장이 정하여 고시한다. <개정 2014. 11. 19., 2017. 7. 26., 2023. 12. 12.>
[제목개정 2023. 12. 12.]"
공기와 접촉되었을 때 위험도(H)가 가장 큰 것은?,에테르,"[|assistant|]제시된 옵션들 중에서 공기와 직접 접촉했을 때의 위험도를 평가하기 위해서는 각 물질의 특성을 고려해야 합니다. 하지만 주어진 문서 내용만으로는 특정 물질들의 정확한 위험도 등급을 판단하기 어렵습니다. 일반적인 화학물질의 위험성에 대한 일반적인 이해를 바탕으로 답변 드리겠습니다:

1. **에테르**: 일부 에테르는 가연성이 있어 화재 위험이 있지만, 독성이 낮은 편입니다.
2. **수소**: 매우 가연성이 높아 불꽃이나 고온에 노출되면 폭발할 위험이 큽니다. 공기 중에서도 매우 불안정한 상태로 존재할 수 있어 위험도가 매우 높습니다.
3. **에틸렌**: 주로 가스 형태로 사용되며, 가연성이 있어 화재 위험이 있지만 독성은 상대적으로 낮습니다.
4. **부탄**: 액화석유가스(LPG)의 일종으로 가연성이 매우 높아 화재나 폭발 위험이 큽니다. 하지만 에테르나 수소에 비해 직접적인 독성 위험은 상대적으로 낮을 수 있습니다.

**결론적으로, 주어진 옵션들 중에서 공기와 접촉했을 때 가장 높은 위험도를 가질 가능성이 있는 물질은 **수소**입니다. 수소의 경우 가연성이 극도로 높아 불꽃이나 고온에 노출되면 즉시 폭발할 위험이 크며, 이는 다른 물질들에 비해 훨씬 더 심각한 안전 위협을 초래할 수 있습니다.**

하지만 실제 위험 평가는 물질의 구체적인 조건, 농도, 환경 등 다양한 요인에 따라 달라질 수 있으므로, 실제 상황에서는 전문가의 평가가 필수적입니다."," [초고층재난관리법 시행령 / 제1장 총칙 / 제4조(유해ㆍ위험물질의 종류 및 범위)]
제4조(유해ㆍ위험물질의 종류 및 범위) 법 제2조제8호에 따른 유해ㆍ위험물질의 종류 및 범위는 다음 각 호와 같다. <개정 2014. 12. 9., 2019. 12. 24.>

1. 「화학물질관리법」 제2조제2호부터 제6호까지의 규정에 따른 유독물질, 허가물질, 제한물질, 금지물질 및 사고대비물질
2. 「위험물안전관리법 시행령」 별표 1에 따른 위험물별 지정수량 이상의 위험물
3. 「고압가스 안전관리법」의 적용 대상인 가연성가스 및 독성가스
4. 「산업안전보건법」 제118조에 따른 제조 등의 허가 대상 물질
5. 삭제 <2016. 12. 30.>"
제2류 위험물에 해당하지 않는 것은?,황린,"[|assistant|]제시된 문서는 주로 화약류와 관련된 위험물의 특별한 관리 기준에 초점을 맞추고 있으며, 제2류 위험물에 대한 직접적인 분류 정보는 포함하고 있지 않습니다. 그러나 일반적인 화학물질 분류 지식을 바탕으로 답변 드리겠습니다.

제2류 위험물은 주로 산화성 물질을 포함하며, 다음과 같은 물질들이 일반적으로 해당될 수 있습니다:
- 산화제 (예: 과산화수소, 질산염류 등)
- 일부 금속 분말 (예: 알루미늄 분말)

제시된 옵션들을 살펴보면:
1. **유황** - 주로 황화물이나 황화수소와 관련이 있으며, 일반적으로 제2류 위험물로 분류되지 않습니다.
2. **황화린 (황린)** - 황화합물로 분류되며, 특정 조건 하에서는 산화성 물질로 간주될 수 있지만, 일반적인 분류에서는 제2류 위험물로 명확히 분류되지 않을 수 있습니다.
3. **적린 (적철)** - 철의 산화물로, 주로 제1류 위험물 (폭발성 물질)에 해당할 가능성이 높습니다.
4. **황린 (황화철)** - 황화합물로 분류되며, 일반적으로 제2류 위험물로 분류되지 않습니다.

따라서 **제2류 위험물에 해당하지 않는 것**으로 가장 명확하게 분류되지 않는 것은:

**3. 적린**

적린은 주로 폭발성 물질로 분류되기 때문에 제2류 위험물에 해당하지 않는 것으로 볼 수 있습니다. 하지만 화학물질 분류는 매우 세밀할 수 있으므로, 구체적인 상황에 따라 다를 수 있다는 점을 유의하시기 바랍니다."," [위험물안전관리법 시행규칙 / 제3장 제조소등의 위치ㆍ구조 및 설비의 기준 / 제48조(화약류에 해당하는 위험물의 특례)]
제48조(화약류에 해당하는 위험물의 특례) 염소산염류ㆍ과염소산염류ㆍ질산염류ㆍ황ㆍ철분ㆍ금속분ㆍ마그네슘ㆍ질산에스터류ㆍ나이트로화합물 중 「총포ㆍ도검ㆍ화약류 등의 안전관리에 관한 법률」에 따른 화약류에 해당하는 위험물을 저장 또는 취급하는 제조소 등에 대해서는 별표 4 ⅡㆍⅣㆍⅨㆍⅩ 및 별표 5 Ⅰ 제1호ㆍ제2호ㆍ제4호부터 제8호까지ㆍ제14호ㆍ제16호ㆍⅡㆍⅢ을 적용하지 않는다. <개정 2005. 5. 26., 2016. 1. 22., 2020. 10. 12., 2024. 5. 20.>"
